Algorithm, Seed, Requests, Value
2, 10, 111, 0.984621
2, 11, 111, 0.984228
2, 12, 111, 0.983295
2, 13, 111, 0.983629
2, 14, 111, 0.984294
2, 15, 111, 0.984365
2, 16, 111, 0.984368
2, 17, 111, 0.983456
2, 18, 111, 0.984149
2, 19, 111, 0.984074
2, 20, 111, 0.984342
2, 21, 111, 0.983393
2, 22, 111, 0.984458
2, 23, 111, 0.983640
2, 24, 111, 0.983515
2, 25, 111, 0.983459
2, 26, 111, 0.983114
2, 27, 111, 0.983233
2, 28, 111, 0.982652
2, 29, 111, 0.983675
2, 30, 111, 0.984166
2, 31, 111, 0.983906
2, 32, 111, 0.984076
2, 33, 111, 0.983300
2, 34, 111, 0.983583
2, 35, 111, 0.984309
2, 36, 111, 0.982975
2, 37, 111, 0.984438
2, 38, 111, 0.983776
2, 39, 111, 0.984462
2, 40, 111, 0.984469
2, 41, 111, 0.983693
2, 42, 111, 0.984506
2, 43, 111, 0.984077
2, 44, 111, 0.983762
2, 45, 111, 0.983789
2, 46, 111, 0.982461
2, 47, 111, 0.984250
2, 48, 111, 0.983517
2, 49, 111, 0.983027
2, 50, 111, 0.981693
2, 51, 111, 0.983109
2, 52, 111, 0.981766
2, 53, 111, 0.983156
2, 54, 111, 0.984866
2, 55, 111, 0.983938
2, 56, 111, 0.983959
2, 57, 111, 0.984014
2, 58, 111, 0.983946
2, 59, 111, 0.984393
1, 60, 111, 0.983791
1, 61, 111, 0.984046
1, 62, 111, 0.984106
1, 63, 111, 0.982897
1, 64, 111, 0.983215
1, 65, 111, 0.984584
1, 66, 111, 0.984811
1, 67, 111, 0.984787
1, 68, 111, 0.983079
1, 69, 111, 0.985573
1, 70, 111, 0.983787
1, 71, 111, 0.983663
1, 72, 111, 0.984265
1, 73, 111, 0.983710
1, 74, 111, 0.984501
1, 75, 111, 0.983171
1, 76, 111, 0.983394
1, 77, 111, 0.983210
1, 78, 111, 0.984326
1, 79, 111, 0.983241
1, 80, 111, 0.984592
1, 81, 111, 0.983277
1, 82, 111, 0.984515
1, 83, 111, 0.983921
1, 84, 111, 0.983774
1, 85, 111, 0.984009
1, 86, 111, 0.983467
1, 87, 111, 0.983392
1, 88, 111, 0.983040
1, 89, 111, 0.983466
1, 90, 111, 0.984490
1, 91, 111, 0.983830
1, 92, 111, 0.984298
1, 93, 111, 0.983993
1, 94, 111, 0.983787
1, 95, 111, 0.982960
1, 96, 111, 0.983348
1, 97, 111, 0.981928
1, 98, 111, 0.983008
1, 99, 111, 0.983218
1, 100, 111, 0.983255
1, 101, 111, 0.982981
1, 102, 111, 0.984590
1, 103, 111, 0.984094
1, 104, 111, 0.983234
1, 105, 111, 0.983856
1, 106, 111, 0.983775
1, 107, 111, 0.983811
1, 108, 111, 0.984099
1, 109, 111, 0.984356
0, 110, 111, 0.902523
0, 111, 111, 0.905614
0, 112, 111, 0.908038
0, 113, 111, 0.906726
0, 114, 111, 0.904199
0, 115, 111, 0.909349
0, 116, 111, 0.912408
0, 117, 111, 0.902981
0, 118, 111, 0.905084
0, 119, 111, 0.906665
0, 120, 111, 0.905620
0, 121, 111, 0.906406
0, 122, 111, 0.902964
0, 123, 111, 0.904483
0, 124, 111, 0.915160
0, 125, 111, 0.904846
0, 126, 111, 0.903381
0, 127, 111, 0.904874
0, 128, 111, 0.908717
0, 129, 111, 0.902480
0, 130, 111, 0.901738
0, 131, 111, 0.903071
0, 132, 111, 0.916585
0, 133, 111, 0.902116
0, 134, 111, 0.905413
0, 135, 111, 0.905732
0, 136, 111, 0.906586
0, 137, 111, 0.909882
0, 138, 111, 0.907242
0, 139, 111, 0.905248
0, 140, 111, 0.912784
0, 141, 111, 0.904379
0, 142, 111, 0.904224
0, 143, 111, 0.903703
0, 144, 111, 0.904291
0, 145, 111, 0.915186
0, 146, 111, 0.907572
0, 147, 111, 0.913209
0, 148, 111, 0.904318
0, 149, 111, 0.904248
0, 150, 111, 0.904533
0, 151, 111, 0.905575
0, 152, 111, 0.909861
0, 153, 111, 0.903592
0, 154, 111, 0.911391
0, 155, 111, 0.904041
0, 156, 111, 0.912873
0, 157, 111, 0.903121
0, 158, 111, 0.908334
0, 159, 111, 0.904088
Average0, Average1, Average2
0.908174, 0.983787, 0.964054
Sx0, Sx1, Sx2
0.011409, 0.000655, 0.137724
Confidence Interval Algorithm Zero, 0.905472, 0.910877
Confidence Interval Algorithm One, 0.983632, 0.983942
Confidence Interval Algorithm Two, 0.931430, 0.996679
