Algorithm, Seed, Requests, Value
2, 10, 15, 0.907622
2, 11, 15, 0.898770
2, 12, 15, 0.865362
2, 13, 15, 0.874397
2, 14, 15, 0.892608
2, 15, 15, 0.888976
2, 16, 15, 0.894010
2, 17, 15, 0.891213
2, 18, 15, 0.878817
2, 19, 15, 0.900821
2, 20, 15, 0.899460
2, 21, 15, 0.864102
2, 22, 15, 0.903876
2, 23, 15, 0.860877
2, 24, 15, 0.884993
2, 25, 15, 0.906516
2, 26, 15, 0.878473
2, 27, 15, 0.903647
2, 28, 15, 0.887347
2, 29, 15, 0.853297
2, 30, 15, 0.875210
2, 31, 15, 0.893286
2, 32, 15, 0.897024
2, 33, 15, 0.883836
2, 34, 15, 0.881560
2, 35, 15, 0.891556
2, 36, 15, 0.886757
2, 37, 15, 0.882109
2, 38, 15, 0.872165
2, 39, 15, 0.885081
2, 40, 15, 0.899488
2, 41, 15, 0.862908
2, 42, 15, 0.880337
2, 43, 15, 0.879333
2, 44, 15, 0.877362
2, 45, 15, 0.888982
2, 46, 15, 0.831705
2, 47, 15, 0.884945
2, 48, 15, 0.898388
2, 49, 15, 0.865780
2, 50, 15, 0.896836
2, 51, 15, 0.865830
2, 52, 15, 0.823346
2, 53, 15, 0.891269
2, 54, 15, 0.894095
2, 55, 15, 0.894206
2, 56, 15, 0.887470
2, 57, 15, 0.891814
2, 58, 15, 0.851092
2, 59, 15, 0.890287
1, 60, 15, 0.891256
1, 61, 15, 0.894012
1, 62, 15, 0.917565
1, 63, 15, 0.873181
1, 64, 15, 0.875202
1, 65, 15, 0.897938
1, 66, 15, 0.887073
1, 67, 15, 0.886596
1, 68, 15, 0.893833
1, 69, 15, 0.868629
1, 70, 15, 0.896401
1, 71, 15, 0.891480
1, 72, 15, 0.898110
1, 73, 15, 0.897332
1, 74, 15, 0.870204
1, 75, 15, 0.886573
1, 76, 15, 0.848757
1, 77, 15, 0.912174
1, 78, 15, 0.888451
1, 79, 15, 0.879101
1, 80, 15, 0.895133
1, 81, 15, 0.849782
1, 82, 15, 0.870675
1, 83, 15, 0.896392
1, 84, 15, 0.897380
1, 85, 15, 0.907411
1, 86, 15, 0.858218
1, 87, 15, 0.885773
1, 88, 15, 0.880156
1, 89, 15, 0.871565
1, 90, 15, 0.888350
1, 91, 15, 0.870466
1, 92, 15, 0.876110
1, 93, 15, 0.872774
1, 94, 15, 0.889551
1, 95, 15, 0.876006
1, 96, 15, 0.900541
1, 97, 15, 0.873283
1, 98, 15, 0.848807
1, 99, 15, 0.873258
1, 100, 15, 0.895827
1, 101, 15, 0.890928
1, 102, 15, 0.890959
1, 103, 15, 0.871284
1, 104, 15, 0.824099
1, 105, 15, 0.891615
1, 106, 15, 0.894973
1, 107, 15, 0.886293
1, 108, 15, 0.893179
1, 109, 15, 0.885079
0, 110, 15, 0.885216
0, 111, 15, 0.859840
0, 112, 15, 0.893824
0, 113, 15, 0.892764
0, 114, 15, 0.890988
0, 115, 15, 0.888205
0, 116, 15, 0.866241
0, 117, 15, 0.896948
0, 118, 15, 0.888093
0, 119, 15, 0.888785
0, 120, 15, 0.890774
0, 121, 15, 0.864582
0, 122, 15, 0.888552
0, 123, 15, 0.891188
0, 124, 15, 0.905457
0, 125, 15, 0.893073
0, 126, 15, 0.883004
0, 127, 15, 0.871550
0, 128, 15, 0.879286
0, 129, 15, 0.897094
0, 130, 15, 0.891346
0, 131, 15, 0.899624
0, 132, 15, 0.880411
0, 133, 15, 0.880731
0, 134, 15, 0.871105
0, 135, 15, 0.886073
0, 136, 15, 0.899199
0, 137, 15, 0.863339
0, 138, 15, 0.863287
0, 139, 15, 0.891436
0, 140, 15, 0.900022
0, 141, 15, 0.880034
0, 142, 15, 0.892928
0, 143, 15, 0.867983
0, 144, 15, 0.870607
0, 145, 15, 0.891828
0, 146, 15, 0.890089
0, 147, 15, 0.899205
0, 148, 15, 0.859267
0, 149, 15, 0.891880
0, 150, 15, 0.864734
0, 151, 15, 0.884846
0, 152, 15, 0.877804
0, 153, 15, 0.884498
0, 154, 15, 0.904143
0, 155, 15, 0.858592
0, 156, 15, 0.871684
0, 157, 15, 0.889139
0, 158, 15, 0.871121
0, 159, 15, 0.891519
Average0, Average1, Average2
0.883800, 0.883522, 0.864632
Sx0, Sx1, Sx2
0.012707, 0.017348, 0.124708
Confidence Interval Algorithm Zero, 0.880790, 0.886810
Confidence Interval Algorithm One, 0.879413, 0.887631
Confidence Interval Algorithm Two, 0.835091, 0.894173
